Depth_from_(m),Depth_to_(m),Kaolin_(System_SWIR),White-Mica_(System_SWIR),Smectite_(System_SWIR),Other-AlOH_(System_SWIR),Chlorite_(System_SWIR),Dark-Mica_(System_SWIR),Amphibole_(System_SWIR),Serpentine_(System_SWIR),Other-MgOH_(System_SWIR),Epidote_(System_SWIR),Tourmaline_(System_SWIR),Carbonate_(System_SWIR),Sulphate_(System_SWIR),Invalid_(System_SWIR),VIS-SWIR_Albedo,900D_Fe,900W_Fe,1900D_Water_Fe,2200D_AlOH,2200W_AlOH,2250D_FeOH,2250W_FeOH,Misc-Silicate_(System_TIR),Silica_(System_TIR),K-Feldspar_(System_TIR),Plagioclase_(System_TIR),Garnet_(System_TIR),Pyroxene_(System_TIR),Olivine_(System_TIR),Zeolite_(System_TIR),Kaolin_(System_TIR),White-Mica_(System_TIR),Smectite_(System_TIR),Other-AlOH_(System_TIR),Chlorite_(System_TIR),Dark-Mica_(System_TIR),Amphibole_(System_TIR),Serpentine_(System_TIR),Other-MgOH_(System_TIR),Epidote_(System_TIR),Tourmaline_(System_TIR),Carbonate_(System_TIR),Sulphate_(System_TIR),Phosphate_(System_TIR),Oxide_(System_TIR),INVALID_(System_TIR),8625D_Quartz,11300D_Carbonate,11300W_Carbonate
13.0,14.0,N.A.,0.002621,0.0015131,N.A.,0.7908138,0.0212121,0.0111978,0.0050275,N.A.,0.0307463,0.0139675,0.1229006,N.A.,N.A.,0.148596,N.A.,N.A.,0.0211601,0.0066613,2190.5644,0.0293931,2254.215,N.A.,0.0140358,N.A.,0.6890223,0.0004844,0.0764025,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1835389,0.0078635,N.A.,N.A.,N.A.,N.A.,N.A.,0.0116495,0.0170028,N.A.,N.A.,N.A.,0.0283612,0.0095378,11443.294
14.0,15.0,N.A.,N.A.,0.026503,0.0013665,0.7952649,0.0353794,0.0128325,0.0029367,N.A.,0.0248244,0.0016167,0.0992754,N.A.,N.A.,0.1582842,0.0490916,919.79626,0.0238902,0.005106,2188.041,0.0348551,2254.2443,N.A.,0.0512972,N.A.,0.6022921,N.A.,0.0660109,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2584092,0.0049499,N.A.,0.0015947,N.A.,0.0016969,N.A.,N.A.,0.0137487,N.A.,N.A.,N.A.,0.0382437,0.0069892,11456.092
15.0,16.0,N.A.,N.A.,N.A.,N.A.,0.8798235,0.0089624,0.0100025,0.0016197,N.A.,0.0249751,N.A.,0.0746165,N.A.,N.A.,0.1424655,N.A.,N.A.,0.0194632,0.0062125,2183.7692,0.0348502,2254.7146,N.A.,N.A.,N.A.,0.6125589,N.A.,0.1245762,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2403017,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.022563,N.A.,N.A.,N.A.,0.024535,0.0090068,11478.247
16.0,17.0,N.A.,N.A.,N.A.,N.A.,0.8140869,0.0421147,0.0110065,0.0025735,N.A.,0.0284734,N.A.,0.0759067,N.A.,0.0258379,0.1385261,0.0467586,933.70068,0.0215143,0.0088269,2180.499,0.0350213,2254.1745,N.A.,0.0483654,N.A.,0.6686569,N.A.,0.0666204,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1988423,0.003496,0.0067022,N.A.,N.A.,N.A.,N.A.,0.0073165,N.A.,N.A.,N.A.,N.A.,0.048167,0.0083407,11470.035
17.0,18.0,N.A.,N.A.,N.A.,N.A.,0.8156063,0.0254454,0.013078,0.0020432,N.A.,0.0362914,0.0015973,0.1029144,N.A.,0.0030238,0.1433604,N.A.,N.A.,0.0194518,0.007407,2182.6176,0.0266695,2254.2204,N.A.,0.0186813,N.A.,0.7102691,N.A.,0.1403365,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1244658,0.0022385,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0040085,N.A.,N.A.,N.A.,0.0317951,0.0080072,11472.651
18.0,19.0,N.A.,N.A.,N.A.,N.A.,0.8395901,0.028953,0.009734,0.0014816,N.A.,0.0330375,N.A.,0.0838451,N.A.,0.0033585,0.1512164,N.A.,N.A.,0.0184358,0.006495,2181.4157,0.0325274,2254.4721,N.A.,0.0167797,N.A.,0.650958,N.A.,0.1205879,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2021923,0.0060031,0.0034788,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0296021,0.00752,11483.838
19.0,20.0,N.A.,N.A.,N.A.,N.A.,0.8399146,0.0155755,0.0105223,0.0016564,N.A.,0.0505351,N.A.,0.079308,N.A.,0.0024877,0.1493073,N.A.,N.A.,0.0198485,0.0062944,2176.9631,0.0340722,2254.9211,N.A.,0.0304151,N.A.,0.668277,N.A.,0.0773914,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.2189389,0.0027029,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0022744,N.A.,N.A.,N.A.,0.0397617,0.0067066,11474.691
20.0,21.0,N.A.,N.A.,N.A.,N.A.,0.8156771,0.0295996,0.0086588,0.0044604,N.A.,0.0301459,N.A.,0.1114579,N.A.,N.A.,0.1567879,N.A.,N.A.,0.0188289,0.0059349,2180.1645,0.0330495,2254.7353,N.A.,N.A.,N.A.,0.6857035,N.A.,0.1142361,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1956221,0.0028654,0.0015727,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0311802,0.0102266,11474.756
21.0,22.0,N.A.,N.A.,N.A.,0.0017361,0.7691381,0.0430849,0.0120914,0.003513,N.A.,0.0231088,N.A.,0.1412686,N.A.,0.0060587,0.154282,N.A.,N.A.,0.0191297,0.0065053,2178.3161,0.0316001,2254.9274,N.A.,0.0460409,N.A.,0.7302923,N.A.,0.0864239,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1324015,0.0036127,N.A.,0.0012284,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0471561,0.0056615,11470.988
22.0,23.0,N.A.,N.A.,N.A.,N.A.,0.7751249,0.0286189,0.002189,N.A.,N.A.,0.0349561,N.A.,0.1096751,N.A.,0.0494356,0.1467522,0.0542047,970.47326,0.0201178,0.0094638,2174.5102,0.0300342,2255.3501,N.A.,N.A.,N.A.,0.6665074,0.005153,0.1797902,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.1412595,0.0038974,0.0018672,0.001525,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,0.0247448,0.0109866,11483.71
23.0,24.0,0.0011265,0.0176255,0.0059266,0.0022074,0.7545372,0.0241968,0.0047456,N.A.,N.A.,0.0248465,0.0046522,0.0803805,N.A.,0.0797545,0.1215925,0.0395836,953.29925,0.0214722,0.0089958,2185.0725,0.0215358,2254.2705,N.A.,0.0346609,0.0463497,0.6515487,N.A.,0.1457563,N.A.,N.A.,N.A.,N.A.,N.A.,0.0010854,0.0982196,0.0037892,0.0031599,0.0036567,N.A.,N.A.,N.A.,0.011773,N.A.,N.A.,N.A.,N.A.,0.0475101,0.0079204,11459.199
24.0,25.0,0.0076815,0.0146874,0.0096253,0.0028901,0.7043466,N.A.,0.0090369,N.A.,N.A.,0.0288313,0.0125291,0.0586881,0.0016833,0.15,0.1067156,0.0417792,951.05859,0.0248773,0.0112136,2191.5903,0.0190685,2253.3427,N.A.,0.0052568,0.0515423,0.6630385,N.A.,0.2469306,N.A.,N.A.,N.A.,N.A.,0.0057901,N.A.,0.0116865,0.0027135,0.0014443,N.A.,N.A.,N.A.,N.A.,0.0115969,N.A.,N.A.,N.A.,N.A.,0.0417109,0.0057763,11463.426
